lambda_um,n,k
3.0,2.1833869092869045,0.0008754444444444452
3.1105527638190953,2.1829929542022826,0.0010416480252426526
3.221105527638191,2.1826391083466423,0.0012069224885064064
3.3316582914572863,2.182320098975611,0.0013703517286250862
3.442211055276382,2.182031493207462,0.001531262739623849
3.5527638190954773,2.181769542276142,0.0016891688870038753
3.6633165829145726,2.181531058503608,0.0018437267711749763
3.7738693467336684,2.1813133173574215,0.0019947032345687334
3.884422110552764,2.181113978908333,0.002141949995732426
3.9949748743718594,2.1809310244134066,0.0022853840575926595
4.105527638190955,2.1807627047822074,0.0024249725149028687
4.21608040201005,2.180607498445716,0.0025607207328663313
4.326633165829145,2.1804640767156878,0.0026926631229926045
4.437185929648241,2.1803312751491357,0.0028208559297360886
4.547738693467337,2.1802080697561816,0.002945371580843077
4.658291457286432,2.1800935571365394,0.0030662942586599557
4.768844221105528,2.179986937819898,0.0031837164282518026
4.8793969849246235,2.1798875022325603,0.003297736117754745
4.989949748743719,2.17979461882735,0.003408454791800409
5.100502512562814,2.179707724003686,0.003515975693659152
5.211055276381909,2.179626313515625,0.003620402558563619
5.321608040201005,2.1795499351219054,0.0037218386214300557
5.432160804020101,2.1794781822768674,0.0038203858583334563
5.542713567839196,2.179410688697046,0.003916144413694129
5.653266331658291,2.1793471236671786,0.0040092121750123465
5.763819095477388,2.1792871879727724,0.004099684464761188
5.874371859296483,2.1792306103653982,0.004187653825185997
5.984924623115578,2.179177144482403,0.004273209876621542
6.0954773869346734,2.179126566155459,0.004356439233801991
6.206030150753769,2.1790786710528236,0.004437425467717878
6.316582914572864,2.1790332726088257,0.004516249103034146
6.42713567839196,2.1789902002012687,0.004592987643053329
6.5376884422110555,2.178949297543374,0.004667715615788955
6.648241206030151,2.1789104212618775,0.004740504635985578
6.758793969849247,2.1788734396370453,0.004811423478945842
6.869346733668342,2.17883823148386,0.004880538162851069
6.9798994974874375,2.178804685156589,0.004947912036929055
7.090452261306533,2.1787726976614183,0.005013605873362128
7.201005025125628,2.178742173863938,0.00507767796126495
7.311557788944724,2.1787130257800777,0.0051401842014147225
7.42211055276382,2.178685171940585,0.005201178200702352
7.532663316582915,2.178658536820455,0.005260711365504511
7.64321608040201,2.17863305032584,0.005318832993363566
7.7537688442211055,2.178608647331903,0.005375590362513541
7.864321608040202,2.1785852672659223,0.005431028818912106
7.974874371859297,2.1785628537306496,0.005485191860536679
8.085427135678392,2.1785413541635354,0.0055381212187813975
8.195979899497488,2.178520719527977,0.005589856936854574
8.306532663316583,2.1785009040331866,0.00564043744512626
8.417085427135678,2.178481864879694,0.005689899633415015
8.527638190954775,2.1784635620278348,0.005738278920233947
8.638190954773869,2.178445957986874,0.005785609319040082
8.748743718592966,2.1784290176227037,0.005831923501549448
8.859296482412061,2.1784127079822544,0.005877252858194005
8.969849246231156,2.1783969981329863,0.005921627555806637
9.080402010050252,2.178381859015997,0.005965076592627393
9.190954773869347,2.1783672633114417,0.006007627850728841
9.301507537688442,2.1783531853151006,0.006049308145961081
9.412060301507537,2.178339600825045,0.00609014327551809
9.522613065326635,2.178326487037477,0.006130158063227074
9.633165829145728,2.178313822450901,0.006169376402661414
9.743718592964825,2.1783015867778657,0.006207821298176115
9.85427135678392,2.1782897608636165,0.006245514903962299
9.964824120603016,2.1782783266110304,0.006282478561214602
10.075376884422111,2.1782672669112952,0.00631873283350228
10.185929648241206,2.1782565655798343,0.006354297540431604
10.296482412060302,2.178246207297023,0.00638919178968374
10.407035175879397,2.178236177553298,0.006423434007508905
10.517587939698494,2.1782264625982894,0.006457041967754094
10.628140703517587,2.1782170493936373,0.006490032819498236
10.738693467336685,2.178207925569199,0.006522423113365271
10.84924623115578,2.178199079382364,0.0065542288265822216
10.959798994974875,2.1781904996802353,0.006585465386846218
11.07035175879397,2.178182175864435,0.006616147695061145
11.180904522613066,2.178174097858346,0.006646290147001642
11.291457286432161,2.1781662560765835,0.006675906653959223
11.402010050251256,2.178158641396532,0.006705010662422468
11.512562814070352,2.17815124513179,0.0067336151728405675
11.623115577889449,2.178144059007373,0.006761732757516913
11.733668341708544,2.178137075136547,0.006789375577677004
11.84422110552764,2.1781302859991736,0.006816555399752568
11.954773869346734,2.1781236844214416,0.006843283610921612
12.06532663316583,2.1781172635569073,0.006869571233941987
12.175879396984925,2.178111016868722,0.006895428941314058
12.28643216080402,2.1781049381129858,0.00692086706880617
12.396984924623116,2.178099021323129,0.006945895628374808
12.507537688442211,2.178093260795262,0.00697052432050964
12.618090452261308,2.1780876510744136,0.006994762546032028
12.728643216080403,2.178082186941612,0.007018619417374042
12.839195979899499,2.178076863401733,0.007042103769363629
12.949748743718594,2.178071675672078,0.007065224169540136
13.06030150753769,2.178066619171623,0.007087988928023195
13.170854271356784,2.178061689510898,0.007110406106956681
13.28140703517588,2.1780568824824558,0.007132483529548352
13.391959798994975,2.1780521940518844,0.0071542287887246606
13.50251256281407,2.178047620349341,0.0071756492554192405
13.613065326633166,2.178043157661559,0.0071967520865125496
13.723618090452263,2.1780388024243043,0.007217544232439273
13.834170854271358,2.1780345512152572,0.007238032444479219
13.944723618090453,2.178030400747284,0.007258223281746612
14.055276381909549,2.1780263478620765,0.007278123117891904
14.165829145728644,2.178022389524145,0.007297738147529541
14.27638190954774,2.1780185228151256,0.007317074392404378
14.386934673366834,2.178014744928401,0.007336137707308819
14.49748743718593,2.1780110531640036,0.00735493378576213
14.608040201005025,2.17800744492379,0.007373468165462796
14.718592964824122,2.178003917706865,0.0073917462335242375
14.829145728643217,2.178000469105248,0.007409773231503695
14.939698492462313,2.177997096799758,0.00742755426023357
15.050251256281408,2.177993798556116,0.0074450942844640905
15.160804020100503,2.1779905722212396,0.007462398137325678
15.271356783919598,2.177987415719728,0.007479470524619023
15.381909547738694,2.177984327050522,0.007496316028940456
15.492462311557789,2.177981304283734,0.007512939113649829
15.603015075376884,2.1779783455576283,0.007529344126687775
15.713567839195981,2.177975449075753,0.007545535304248901
15.824120603015077,2.1779726131042145,0.0075615167743171
15.934673366834172,2.1779698359690802,0.007577292560068924
16.04522613065327,2.1779671160539054,0.007592866583150643
16.155778894472363,2.1779644517973837,0.007608242666834362
16.266331658291456,2.177961841691101,0.007623424539058303
16.376884422110553,2.177959284277403,0.0076384158353561184
16.48743718592965,2.177956778147358,0.007653220101679886
16.597989949748744,2.177954321938815,0.007667840797121197
16.70854271356784,2.1779519143345514,0.0076822812965345695
