lambda_um,n,k
3.0,1.923806433864121,0.01827477777777778
3.1105527638190953,1.9235172909175149,0.018613880413194454
3.221105527638191,1.9232575714533071,0.018937207592952702
3.3316582914572863,1.9230234097550714,0.01924560774986407
3.442211055276382,1.9228115554378924,0.019539910092173266
3.5527638190954773,1.9226192594243798,0.01982091406204674
3.6633165829145726,1.922444183855389,0.020089383079212934
3.7738693467336684,1.9222843303558745,0.020346041218012027
3.884422110552764,1.9221379824993092,0.020591571878519704
3.9949748743718594,1.9220036593446832,0.02082661779676437
4.105527638190955,1.9218800776741627,0.02105178193648135
4.21608040201005,1.9217661211165964,0.02126762894273647
4.326633165829145,1.9216608147573635,0.021474686934539827
4.437185929648241,1.9215633041473315,0.021673449481780557
4.547738693467337,1.9214728378603614,0.02186437766002259
4.658291457286432,1.9213887529295532,0.02204790211083299
4.768844221105528,1.9213104626314557,0.022224425059488052
4.8793969849246235,1.9212374461951343,0.022394322259002314
4.989949748743719,1.9211692400969267,0.02255794484148354
5.100502512562814,1.921105430667525,0.02271562106627193
5.211055276381909,1.9210456477899531,0.022867657960197848
5.321608040201005,1.9209895595081823,0.023014342849321565
5.432160804020101,1.9209368673989824,0.023155944784226074
5.542713567839196,1.9208873025859192,0.023292715862697055
5.653266331658291,1.920840622295614,0.02342489245471605
5.763819095477388,1.920796606873529,0.02355269633530935
5.874371859296483,1.9207550571904886,0.023676335731079697
5.984924623115578,1.9207157923825189,0.023796006286302036
6.0954773869346734,1.9206786478759117,0.02391189195436359
6.206030150753769,1.920643473657093,0.0240241658201249
6.316582914572864,1.9206101327532084,0.024132990858511352
6.42713567839196,1.9205784998945867,0.02423852063434038
6.5376884422110555,1.9205484603346128,0.024340899948068092
6.648241206030151,1.9205199088061804,0.024440265431813105
6.758793969849247,1.9204927485969505,0.024536746099694588
6.869346733668342,1.9204668907281996,0.024630463856211492
6.9798994974874375,1.9204422532242011,0.02472153396609481
7.090452261306533,1.920418760460908,0.024810065488786344
7.201005025125628,1.9203963425842432,0.024896161680437536
7.311557788944724,1.92037493498963,0.024979920366079756
7.42211055276382,1.9203544778554908,0.02506143428439411
7.532663316582915,1.9203349157244218,0.025140791407302444
7.64321608040201,1.9203161971265446,0.025218075236411907
7.7537688442211055,1.9202982742402543,0.025293365078171696
7.864321608040202,1.9202811025861775,0.02536673629944166
7.974874371859297,1.920264640750674,0.025438260565027203
8.085427135678392,1.9202488501356694,0.025508006058602154
8.195979899497488,1.9202336947319862,0.02557603768832037
8.306532663316583,1.9202191409136897,0.025642417278306434
8.417085427135678,1.9202051572512444,0.02570720374711517
8.527638190954775,1.9201917143415461,0.02577045327415811
8.638190954773869,1.9201787846531038,0.025832219455011417
8.748743718592966,1.92016634238485,0.025892553446443697
8.859296482412061,1.9201543633372278,0.02595150410193268
8.969849246231156,1.9201428247943417,0.026009118098376607
9.080402010050252,1.9201317054161096,0.02606544005464821
9.190954773869347,1.9201209851394503,0.02612051264258689
9.301507537688442,1.9201106450876548,0.02617437669097639
9.412060301507537,1.9201006674871743,0.026227071283011542
9.522613065326635,1.9200910355911402,0.026278633847717576
9.633165829145728,1.9200817336090004,0.02632910024574892
9.743718592964825,1.9200727466417178,0.026378504849960942
9.85427135678392,1.9200640606220372,0.026426880621117397
9.964824120603016,1.920055662259368,0.02647425917906848
10.075376884422111,1.920047538988885,0.026520670869708524
10.185929648241206,1.9200396789244751,0.02656614482799912
10.296482412060302,1.9200320708152105,0.026610709037321593
10.407035175879397,1.9200247040050396,0.02665439038540317
10.517587939698494,1.9200175683954352,0.02669721471704307
10.628140703517587,1.9200106544107491,0.02673920688384778
