x,R,T,A,R_det
3.0,0.5652225452973123,0.0,0.43477745470268775,0.14707626030558546
3.25,0.5488536948150144,0.0,0.4511463051849856,0.09521417711693325
3.5,0.5424481304748767,0.0,0.4575518695251233,0.05321338206769871
3.75,0.5731857314565632,0.0,0.4268142685434369,0.014312616718185294
4.0,0.5434402692632805,0.0,0.45655973073671957,0.012589823868278463
4.25,0.5653319651543813,0.0,0.4346680348456187,0.13040137825702153
4.5,0.5779170874757797,0.0,0.42208291252422026,0.040257044701245207
4.75,0.5819141515341288,0.0,0.41808584846587116,0.055745544531913827
5.0,0.5868184843089479,0.0,0.41318151569105205,0.06792494026368984
5.25,0.6015113189140779,0.0,0.398488681085922,0.07368045463557592
5.5,0.6295169907986444,0.0,0.3704830092013556,0.07636314492412083
5.75,0.6469655361455959,0.0,0.3530344638544041,0.08870626049237199
6.0,0.6564452007801598,0.0,0.34355479921984017,0.1110361725898199
6.25,0.6799191783121337,0.0,0.32008082168786633,0.14182617396985067
6.5,0.7037155479076054,0.0,0.29628445209239457,0.17559667252601113
6.75,0.7187628562452817,0.0,0.2812371437547183,0.21656944844986756
7.0,0.7080028388508169,0.0,0.29199716114918306,0.3148876724380616
7.25,0.6913876895099271,0.0,0.30861231049007287,0.34711264505681216
7.5,0.6583072826375735,0.0,0.34169271736242646,0.36661292937148127
7.75,0.5897659253964795,0.0,0.4102340746035205,0.37073739227823604
8.0,0.5286511019489846,0.0,0.47134889805101543,0.3400703985038024
8.25,0.48757520233807705,0.0,0.512424797661923,0.48757520233807705
8.5,0.4928954916365965,0.0,0.5071045083634035,0.4928954916365965
8.75,0.5983621853489609,0.0,0.40163781465103915,0.24870230125424736
9.0,0.665607513489977,0.0,0.334392486510023,0.2709364502338423
9.25,0.705289694742514,0.0,0.294710305257486,0.29644742829682125
9.5,0.7319327433592524,0.0,0.26806725664074754,0.32220230696212226
9.75,0.7513412445536977,0.0,0.24865875544630234,0.3469180183800543
10.0,0.7662514147029114,0.0,0.2337485852970887,0.37010500974851834
10.25,0.7781544164845624,0.0,0.22184558351543765,0.3916387397743378
10.5,0.7879406985352778,0.0,0.21205930146472218,0.4115506557114218
10.75,0.7961758508171999,0.0,0.20382414918280012,0.4299322109234036
11.0,0.8032359696090969,0.0,0.19676403039090307,0.4468921158236252
11.25,0.8093803654949039,0.0,0.19061963450509617,0.4625378328037535
11.5,0.8147931519385461,0.0,0.18520684806145388,0.4769680091345221
11.75,0.8196081641502528,0.0,0.1803918358497471,0.49026980065606907
12.0,0.8239244192789141,0.0,0.17607558072108587,0.5025183275699423
12.25,0.8278159386595992,0.0,0.17218406134040076,0.5137770040102781
12.5,0.8313380370372898,0.0,0.16866196296271024,0.5240981860597336
12.75,0.8345312503622528,0.0,0.1654687496377471,0.5335239383246646
13.0,0.8374235144072497,0.0,0.16257648559275029,0.5420869480078554
13.25,0.8400308042898188,0.0,0.15996919571018114,0.5498118629331163
