x,R,T,A,R_det
3.0,0.5795082260762834,0.0,0.4204917739237166,0.12826900039694342
3.25,0.6047174549723373,0.0,0.3952825450276627,0.0958432786251438
3.5,0.3841801622419846,0.0,0.6158198377580154,0.027898874074544024
3.75,0.5869697237579136,0.0,0.41303027624208644,0.06360921701441222
4.0,0.6109639027934229,0.0,0.38903609720657706,0.04539019537221905
4.25,0.616883686537531,0.0,0.383116313462469,0.048397664774654306
4.5,0.6168162647079998,0.0,0.3831837352920002,0.060904126788613976
4.75,0.6250915012005682,0.0,0.3749084987994318,0.07670543409738877
5.0,0.6468437821358097,0.0,0.35315621786419027,0.0958529486666206
5.25,0.6712495706012578,0.0,0.3287504293987422,0.11338435288110592
5.5,0.6920687402777991,0.0,0.3079312597222009,0.14113870563788034
5.75,0.699644421790389,0.0,0.300355578209611,0.16977965034393042
6.0,0.6987526628236764,0.0,0.30124733717632357,0.1941423058874103
6.25,0.6919338768192218,0.0,0.3080661231807782,0.20758829644360044
6.5,0.6908656041672586,0.0,0.3091343958327414,0.21111186001292773
6.75,0.7040664111794518,0.0,0.2959335888205482,0.22222513475385222
7.0,0.7226558429790703,0.0,0.27734415702092974,0.24670342349562488
7.25,0.7393007294187031,0.0,0.26069927058129694,0.27786570036951735
7.5,0.752796475166635,0.0,0.24720352483336505,0.3110753306753393
7.75,0.7637236268375924,0.0,0.23627637316240757,0.34460471522015995
8.0,0.772747593663913,0.0,0.227252406336087,0.37794608179067196
8.25,0.780345900896553,0.0,0.21965409910344702,0.4110173703048133
8.5,0.7868337173461417,0.0,0.21316628265385829,0.44389857564358776
8.75,0.7924149751325907,0.0,0.20758502486740926,0.47676126236577493
9.0,0.7972168150908461,0.0,0.20278318490915392,0.5098715061880482
9.25,0.8013061830176196,0.0,0.19869381698238042,0.543640176059099
9.5,0.804688770818742,0.0,0.19531122918125798,0.5787473186589386
9.75,0.8072782421280987,0.0,0.19272175787190127,0.6164666591528195
10.0,0.8087663361415127,0.0,0.19123366385848728,0.659786938017268
10.25,0.8075499608693473,0.0,0.19245003913065273,0.7224647016912474
10.5,0.8016963541367284,0.0,0.19830364586327165,0.8016963541367284
10.75,0.7977537189805929,0.0,0.20224628101940711,0.7977537189805929
11.0,0.7651904992695744,0.0,0.2348095007304256,0.7651904992695744
11.25,0.7019524184640462,0.0,0.2980475815359538,0.7019524184640462
11.5,0.7675575731552077,0.0,0.23244242684479233,0.7675575731552077
11.75,0.7931683182500971,0.0,0.20683168174990285,0.7931683182500971
12.0,0.8040495852117987,0.0,0.1959504147882013,0.8040495852117987
12.25,0.8104463470592855,0.0,0.18955365294071447,0.8104463470592855
12.5,0.8150202187199919,0.0,0.18497978128000814,0.8150202187199919
12.75,0.8186790907691424,0.0,0.18132090923085764,0.8186790907691424
13.0,0.8218037231678706,0.0,0.17819627683212935,0.8218037231678706
13.25,0.824579330774217,0.0,0.17542066922578303,0.824579330774217
13.5,0.8271066237711227,0.0,0.17289337622887735,0.8271066237711227
13.75,0.8294453765579047,0.0,0.17055462344209527,0.8294453765579047
14.0,0.8316336934899404,0.0,0.16836630651005957,0.8316336934899404
14.25,0.8336973587272162,0.0,0.16630264127278382,0.8336973587272162
14.5,0.8356547249842756,0.0,0.16434527501572438,0.8356547249842756
14.75,0.8375194311383697,0.0,0.16248056886163031,0.8375194311383697
15.0,0.8393019926436749,0.0,0.1606980073563251,0.8393019926436749
15.25,0.841010774187194,0.0,0.15898922581280595,0.841010774187194
15.5,0.8426526078095964,0.0,0.1573473921904036,0.8426526078095964
15.75,0.8442331992865003,0.0,0.1557668007134997,0.8442331992865003
16.0,0.8457574035587394,0.0,0.1542425964412606,0.8457574035587394
16.25,0.8472294166356839,0.0,0.15277058336431615,0.8472294166356839
16.5,0.8486529127203818,0.0,0.1513470872796182,0.8486529127203818
16.75,0.8500311444955698,0.0,0.14996885550443018,0.8500311444955698
17.0,0.8513670180616769,0.0,0.14863298193832308,0.8513670180616769
17.25,0.8526631500577545,0.0,0.1473368499422455,0.8526631500577545
17.5,0.8539219120103765,0.0,0.14607808798962352,0.8539219120103765
17.75,0.8551454653599674,0.0,0.14485453464003262,0.8551454653599674
18.0,0.8563357895596019,0.0,0.14366421044039812,0.8563357895596019
18.25,0.8574947049444538,0.0,0.1425052950555462,0.8574947049444538
18.5,0.8586238915951782,0.0,0.14137610840482184,0.8586238915951782
18.75,0.8597249050823698,0.0,0.14027509491763024,0.8597249050823698
19.0,0.860799189753632,0.0,0.139200810246368,0.860799189753632
19.25,0.8618480900597615,0.0,0.13815190994023852,0.8618480900597615
19.5,0.8628728602951373,0.0,0.13712713970486268,0.8628728602951373
19.75,0.8638746730419798,0.0,0.13612532695802015,0.8638746730419798
20.0,0.8648546265445614,0.0,0.13514537345543864,0.8648546265445614
20.25,0.8658137511925734,0.0,0.13418624880742658,0.8658137511925734
20.5,0.866753015252087,0.0,0.13324698474791297,0.866753015252087
20.75,0.8676733299610636,0.0,0.1323266700389364,0.8676733299610636
21.0,0.868575554078736,0.0,0.131424445921264,0.868575554078736
21.25,0.8694604979680114,0.0,0.1305395020319886,0.8694604979680114
21.5,0.8703289272686061,0.0,0.1296710727313939,0.8703289272686061
21.75,0.8711815662181286,0.0,0.1288184337818714,0.8711815662181286
22.0,0.8720191006606852,0.0,0.12798089933931478,0.8720191006606852
22.25,0.8728421807826935,0.0,0.1271578192173065,0.8728421807826935
22.5,0.8736514236048394,0.0,0.12634857639516062,0.8736514236048394
22.75,0.8744474152607468,0.0,0.12555258473925324,0.8744474152607468
23.0,0.8752307130797848,0.0,0.12476928692021516,0.8752307130797848
23.25,0.8760018475006704,0.0,0.12399815249932955,0.8760018475006704
23.5,0.87676132382865,0.0,0.12323867617134998,0.87676132382865
23.75,0.877509623852674,0.0,0.12249037614732605,0.877509623852674
24.0,0.8782472073373582,0.0,0.12175279266264183,0.8782472073373582
24.25,0.8789745133997606,0.0,0.12102548660023937,0.8789745133997606
24.5,0.8796919617825084,0.0,0.12030803821749159,0.8796919617825084
24.75,0.8803999540318012,0.0,0.11960004596819884,0.8803999540318012
