x,R,T,A,R_det
3.0,0.44388378211463636,0.0,0.5561162178853636,0.14561430434916625
3.25,0.5036016570388109,0.0,0.4963983429611891,0.11801506992148168
3.5,0.538039351234572,0.0,0.461960648765428,0.07830933336373332
3.75,0.4923797469371164,0.0,0.5076202530628836,0.02170018981952493
4.0,0.4891257934149151,0.0,0.5108742065850849,0.09448140812598163
4.25,0.4826971694302733,0.0,0.5173028305697267,0.029952782702963858
4.5,0.4389386916804618,0.0,0.5610613083195382,0.06170185138975397
4.75,0.48958284060306667,0.0,0.5104171593969333,0.04005978526353032
5.0,0.5321245213827963,0.0,0.4678754786172037,0.03697706609800756
5.25,0.5460515592820776,0.0,0.4539484407179224,0.046408940177656115
5.5,0.5796582499191929,0.0,0.4203417500808071,0.03413689872075673
5.75,0.625262490658529,0.0,0.374737509341471,0.049306643323818684
6.0,0.6255038719171235,0.0,0.37449612808287647,0.2771235310877699
6.25,0.599262111529755,0.0,0.40073788847024505,0.165383929421349
6.5,0.5195018569895337,0.0,0.48049814301046634,0.2170802454617852
6.75,0.45218941114134215,0.0,0.5478105888586579,0.29151173043589035
7.0,0.39718453375665985,0.0,0.6028154662433401,0.2738247226066858
7.25,0.3021914723125751,0.0,0.6978085276874249,0.20442182812136814
7.5,0.23508591799895415,0.0,0.7649140820010458,0.10609411022067386
7.75,0.27125964641391476,0.0,0.7287403535860852,0.03260396113001013
8.0,0.3768599691059016,0.0,0.6231400308940984,0.018394631366579643
8.25,0.48150686826911937,0.0,0.5184931317308806,0.04240251919885854
8.5,0.5602523565448605,0.0,0.4397476434551395,0.07932331966726264
8.75,0.614185820884956,0.0,0.385814179115044,0.1191364588392359
9.0,0.6352460257413057,0.0,0.36475397425869427,0.16625873897223603
9.25,0.5332839391843704,0.0,0.46671606081562955,0.340445072781076
9.5,0.4978640763200679,0.0,0.5021359236799321,0.3194067989822092
9.75,0.6298781916515799,0.0,0.3701218083484201,0.1670963581595727
10.0,0.6993079138312703,0.0,0.30069208616872967,0.13936130641152855
10.25,0.7323003827574978,0.0,0.26769961724250224,0.1500106096106549
10.5,0.7518326594034053,0.0,0.24816734059659473,0.16886541917383896
10.75,0.7653983281362128,0.0,0.23460167186378722,0.18887450221732696
11.0,0.7757845399382097,0.0,0.22421546006179027,0.20817758902052846
11.25,0.7842246242339501,0.0,0.21577537576604988,0.22626065898928105
11.5,0.7913489474982235,0.0,0.2086510525017765,0.24301260675475264
11.75,0.7975182882025829,0.0,0.20248171179741714,0.2584523987192518
12.0,0.8029580458812724,0.0,0.1970419541187276,0.8029580458812724
12.25,0.8078188800166416,0.0,0.1921811199833584,0.28564280810997855
12.5,0.8122068529366786,0.0,0.1877931470633214,0.29752721987190955
12.75,0.8161996470914895,0.0,0.1838003529085105,0.30835082502760647
13.0,0.8198558790339007,0.0,0.18014412096609933,0.3181626044816973
13.25,0.8232207392153699,0.0,0.17677926078463013,0.3270021634795049
13.5,0.8263295479746497,0.0,0.17367045202535025,0.33489964685694346
13.75,0.8292100561186829,0.0,0.17078994388131707,0.34187566591832497
14.0,0.8318839392064781,0.0,0.16811606079352193,0.3479410769174212
14.25,0.8343677318286359,0.0,0.16563226817136412,0.3530965169310618
14.5,0.8366733289711857,0.0,0.16332667102881426,0.3573316229286304
14.75,0.8388080998451316,0.0,0.1611919001548684,0.3606238580101448
15.0,0.8407745878216855,0.0,0.15922541217831454,0.3629368568521176
15.25,0.8425696849402784,0.0,0.1574303150597216,0.3642181904405438
15.5,0.8441830396493304,0.0,0.1558169603506696,0.36439645703630796
15.75,0.8455942248947607,0.0,0.15440577510523934,0.36337768098409584
16.0,0.846767737299327,0.0,0.15323226270067303,0.36104128054387014
16.25,0.8476439233893253,0.0,0.15235607661067474,0.35723675107577907
16.5,0.8481216674734084,0.0,0.15187833252659155,0.3517849433917547
16.75,0.8480228917112975,0.0,0.15197710828870248,0.34449660012124955
17.0,0.8470121643340252,0.0,0.15298783566597485,0.3352516830737074
17.25,0.8443872475046779,0.0,0.15561275249532214,0.3243088023201762
17.5,0.8384033416511879,0.0,0.1615966583488121,0.313665096397855
17.75,0.8230685609374269,0.0,0.17693143906257314,0.31552084155646476
18.0,0.6839787865304686,0.0,0.3160212134695314,0.6839787865304686
18.25,0.2852557026259633,0.0,0.7147442973740368,0.2852557026259633
18.5,0.34919176473800445,0.0,0.6508082352619955,0.34919176473800445
18.75,0.5091482769960237,0.0,0.4908517230039763,0.5091482769960237
19.0,0.6136726061788673,0.0,0.3863273938211327,0.6136726061788673
19.25,0.677079736350209,0.0,0.322920263649791,0.677079736350209
19.5,0.7176693355027939,0.0,0.2823306644972061,0.7176693355027939
19.75,0.7453469137349477,0.0,0.25465308626505234,0.7453469137349477
20.0,0.7652749756210664,0.0,0.2347250243789336,0.7652749756210664
20.25,0.7802752956601895,0.0,0.2197247043398105,0.7802752956601895
20.5,0.7919818368292189,0.0,0.20801816317078115,0.7919818368292189
20.75,0.8013924643651678,0.0,0.19860753563483224,0.8013924643651678
21.0,0.809145415171889,0.0,0.19085458482811102,0.809145415171889
21.25,0.8156654038479186,0.0,0.18433459615208136,0.8156654038479186
21.5,0.8212448174428509,0.0,0.17875518255714906,0.8212448174428509
21.75,0.8260909200623923,0.0,0.17390907993760774,0.8260909200623923
22.0,0.8303544120004294,0.0,0.16964558799957064,0.8303544120004294
22.25,0.8341473249210469,0.0,0.16585267507895307,0.8341473249210469
22.5,0.8375545871569716,0.0,0.16244541284302838,0.8375545871569716
22.75,0.8406417055755938,0.0,0.1593582944244062,0.8406417055755938
23.0,0.8434599937737592,0.0,0.15654000622624076,0.8434599937737592
23.25,0.8460502086425683,0.0,0.1539497913574317,0.8460502086425683
23.5,0.8484451298013488,0.0,0.15155487019865121,0.8484451298013488
23.75,0.8506714217909395,0.0,0.14932857820906054,0.8506714217909395
24.0,0.8527510001564207,0.0,0.1472489998435793,0.8527510001564207
24.25,0.8547020483032522,0.0,0.14529795169674775,0.8547020483032522
24.5,0.8565397845582896,0.0,0.1434602154417104,0.8565397845582896
24.75,0.8582770479124701,0.0,0.14172295208752994,0.8582770479124701
