3.996813e+002   0.000000e+000
4.001635e+002   1.663707e+002
4.006456e+002   1.668429e+002
4.011277e+002   1.673276e+002
4.016098e+002   1.677018e+002
4.020919e+002   1.678744e+002
4.025741e+002   1.678213e+002
4.030562e+002   1.675970e+002
4.035383e+002   1.673057e+002
4.040204e+002   1.670593e+002
4.045026e+002   1.669383e+002
4.049847e+002   1.669746e+002
4.054668e+002   1.671532e+002
4.059489e+002   1.674283e+002
4.064311e+002   1.677477e+002
4.069132e+002   1.680746e+002
4.073953e+002   1.683914e+002
4.078774e+002   1.686909e+002
4.083596e+002   1.689598e+002
4.088417e+002   1.691710e+002
4.093238e+002   1.692894e+002
4.098059e+002   1.692923e+002
4.102881e+002   1.691848e+002
4.107702e+002   1.690045e+002
4.112523e+002   1.688033e+002
4.117344e+002   1.686238e+002
4.122166e+002   1.684816e+002
4.126987e+002   1.683634e+002
4.131808e+002   1.682374e+002
4.136629e+002   1.680727e+002
4.141451e+002   1.678522e+002
4.146272e+002   1.675757e+002
4.151093e+002   1.672479e+002
4.155914e+002   1.668648e+002
4.160736e+002   1.664074e+002
4.165557e+002   1.658525e+002
4.170378e+002   1.651952e+002
4.175200e+002   1.644879e+002
4.180021e+002   1.638652e+002
4.184842e+002   1.635205e+002
4.189663e+002   1.636081e+002
4.194484e+002   1.641372e+002
4.199306e+002   1.649538e+002
4.204127e+002   1.658305e+002
4.208948e+002   1.665723e+002
4.213770e+002   1.670757e+002
4.218591e+002   1.673322e+002
4.223412e+002   1.674034e+002
4.228233e+002   1.673831e+002
4.233055e+002   1.673610e+002
4.237876e+002   1.673930e+002
4.242697e+002   1.674888e+002
4.247518e+002   1.676170e+002
4.252339e+002   1.677303e+002
4.257161e+002   1.677913e+002
4.261982e+002   1.677897e+002
4.266803e+002   1.677391e+002
4.271624e+002   1.676619e+002
4.276446e+002   1.675747e+002
4.281267e+002   1.674812e+002
4.286088e+002   1.673776e+002
4.290909e+002   1.672634e+002
4.295731e+002   1.671494e+002
4.300552e+002   1.670583e+002
4.305373e+002   1.670125e+002
4.310194e+002   1.670192e+002
4.315016e+002   1.670610e+002
4.319837e+002   1.670971e+002
4.324658e+002   1.670790e+002
4.329479e+002   1.669731e+002
4.334301e+002   1.667770e+002
4.339122e+002   1.665224e+002
4.343943e+002   1.662626e+002
4.348764e+002   1.660527e+002
4.353586e+002   1.659297e+002
4.358407e+002   1.659047e+002
4.363228e+002   1.659640e+002
4.368049e+002   1.660816e+002
4.372870e+002   1.662329e+002
