3.996813e+002,0.000000e+000
4.001635e+002,7.682212e+001
4.006456e+002,7.671684e+001
4.011277e+002,7.663321e+001
4.016098e+002,7.656960e+001
4.020919e+002,7.652229e+001
4.025741e+002,7.648830e+001
4.030562e+002,7.646437e+001
4.035383e+002,7.644818e+001
4.040204e+002,7.643726e+001
4.045026e+002,7.643169e+001
4.049847e+002,7.643314e+001
4.054668e+002,7.644636e+001
4.059489e+002,7.647683e+001
4.064311e+002,7.652966e+001
4.069132e+002,7.660593e+001
4.073953e+002,7.670131e+001
4.078774e+002,7.680524e+001
4.083596e+002,7.690371e+001
4.088417e+002,7.698228e+001
4.093238e+002,7.703091e+001
4.098059e+002,7.704597e+001
4.102881e+002,7.703168e+001
4.107702e+002,7.699765e+001
4.112523e+002,7.695570e+001
4.117344e+002,7.691525e+001
4.122166e+002,7.688199e+001
4.126987e+002,7.685701e+001
4.131808e+002,7.683855e+001
4.136629e+002,7.682341e+001
4.141451e+002,7.680905e+001
4.146272e+002,7.679319e+001
4.151093e+002,7.677438e+001
4.155914e+002,7.674992e+001
4.160736e+002,7.671687e+001
4.165557e+002,7.667141e+001
4.170378e+002,7.661134e+001
4.175200e+002,7.653800e+001
4.180021e+002,7.645919e+001
4.184842e+002,7.638768e+001
4.189663e+002,7.633826e+001
4.194484e+002,7.631908e+001
4.199306e+002,7.632916e+001
4.204127e+002,7.635903e+001
4.208948e+002,7.639700e+001
4.213770e+002,7.643274e+001
4.218591e+002,7.646018e+001
4.223412e+002,7.647646e+001
4.228233e+002,7.648100e+001
4.233055e+002,7.647417e+001
4.237876e+002,7.645727e+001
4.242697e+002,7.643183e+001
4.247518e+002,7.640065e+001
4.252339e+002,7.636723e+001
4.257161e+002,7.633578e+001
4.261982e+002,7.631011e+001
4.266803e+002,7.629287e+001
4.271624e+002,7.628448e+001
4.276446e+002,7.628366e+001
4.281267e+002,7.628770e+001
4.286088e+002,7.629327e+001
4.290909e+002,7.629698e+001
4.295731e+002,7.629612e+001
4.300552e+002,7.628802e+001
4.305373e+002,7.627062e+001
4.310194e+002,7.624169e+001
4.315016e+002,7.620019e+001
4.319837e+002,7.614639e+001
4.324658e+002,7.608303e+001
4.329479e+002,7.601505e+001
4.334301e+002,7.594924e+001
4.339122e+002,7.589243e+001
4.343943e+002,7.585047e+001
4.348764e+002,7.582619e+001
4.353586e+002,7.581986e+001
4.358407e+002,7.582913e+001
4.363228e+002,7.585080e+001
4.368049e+002,7.588145e+001
4.372870e+002,7.591908e+001
4.377692e+002,7.596223e+001
4.382513e+002,7.600982e+001
4.387334e+002,7.605979e+001
4.392155e+002,7.610886e+001
4.396977e+002,7.615230e+001
4.401798e+002,7.618472e+001
4.406619e+002,7.620074e+001
4.411440e+002,7.619640e+001
4.416262e+002,7.616947e+001
4.421083e+002,7.612013e+001
4.425904e+002,7.605045e+001
4.430725e+002,7.596442e+001
4.435547e+002,7.586713e+001
4.440368e+002,7.576451e+001
4.445189e+002,7.566246e+001
4.450010e+002,7.556625e+001
4.454832e+002,7.547927e+001
4.459653e+002,7.540262e+001
4.464474e+002,7.533447e+001
4.469295e+002,7.527113e+001
4.474117e+002,7.520792e+001
4.478938e+002,7.514111e+001
4.483759e+002,7.506891e+001
4.488580e+002,7.499233e+001
4.493401e+002,7.491451e+001
4.498223e+002,7.484038e+001
4.503044e+002,7.477485e+001
4.507865e+002,7.472271e+001
4.512687e+002,7.468772e+001
4.517508e+002,7.467273e+001
4.522329e+002,7.467887e+001
4.527150e+002,7.470565e+001
4.531971e+002,7.475015e+001
4.536793e+002,7.480754e+001
