x,R,T,A,R_det
3.0,0.7114358954871347,0.0,0.2885641045128653,0.04376458377635196
3.25,0.7445811479589921,0.0,0.25541885204100795,0.09236573079787203
3.5,0.7656599096990802,0.0,0.2343400903009198,0.11456429967085716
3.75,0.7603918911061803,0.0,0.23960810889381967,0.2348518888252873
4.0,0.7518795616700945,0.0,0.2481204383299055,0.24754960310522536
4.25,0.7989355631467063,0.0,0.20106443685329373,0.1765553852496558
4.5,0.8452652349130112,0.0,0.1547347650869888,0.1435881817161359
4.75,0.8706736618786277,0.0,0.1293263381213723,0.12612246193282636
5.0,0.8809680316213663,0.0,0.11903196837863372,0.11372744976077638
5.25,0.7883557814323651,0.0,0.21164421856763493,0.17304678502391133
5.5,0.653907254012885,0.0,0.3460927459871151,0.11334829977578477
5.75,0.6789512229940785,0.0,0.3210487770059215,0.11608562182790544
6.0,0.7743026764611453,0.0,0.22569732353885474,0.10331657651537365
6.25,0.8392923625816329,0.0,0.16070763741836708,0.08324652232155685
6.5,0.8776913857823927,0.0,0.1223086142176073,0.07036607840589518
6.75,0.9015988225713638,0.0,0.09840117742863619,0.06729963866608817
7.0,0.9176225363439452,0.0,0.08237746365605475,0.07302602090599289
7.25,0.929051969292915,0.0,0.070948030707085,0.08586219286984949
7.5,0.9375879433043155,0.0,0.06241205669568456,0.10421892408368588
7.75,0.9441578855391779,0.0,0.0558421144608221,0.1267675424484908
8.0,0.9492876807858088,0.0,0.05071231921419117,0.15245376980813155
8.25,0.9532765673824324,0.0,0.04672343261756762,0.1804754287527142
8.5,0.9562804576398217,0.0,0.043719542360178276,0.2102597633059105
8.75,0.9583473009516925,0.0,0.041652699048307484,0.2414561648125422
9.0,0.9594196476975887,0.0,0.040580352302411304,0.2739607590352592
9.25,0.9593003779419801,0.0,0.04069962205801991,0.30800790111493637
9.5,0.9575479414482166,0.0,0.042452058551783356,0.344427471560511
9.75,0.9531753530951406,0.0,0.046824646904859435,0.3854099994924575
10.0,0.9435810028578828,0.0,0.05641899714211712,0.43737442110301117
10.25,0.9180068103149123,0.0,0.08199318968508773,0.5297220294248856
10.5,0.778394129696436,0.0,0.22160587030356405,0.778394129696436
10.75,0.7610270787827077,0.0,0.2389729212172923,0.7610270787827077
11.0,0.7728821776766714,0.0,0.22711782232332856,0.7728821776766714
