x,R,T,A,R_det
3.0,0.8602663020420598,0.0,0.13973369795794022,0.08384738705902138
3.25,0.8916626482504328,0.0,0.10833735174956716,0.1329105712032086
3.5,0.901379154089753,0.0,0.098620845910247,0.11510930732370489
3.75,0.9432617436491015,0.0,0.056738256350898464,0.16346164558690643
4.0,0.9568135029523405,0.0,0.04318649704765953,0.18735766909920187
4.25,0.968803067317835,0.0,0.031196932682164946,0.18154707804030995
4.5,0.9868463918688988,0.0,0.013153608131101224,0.16379675898056026
4.75,1.0035575762764262,0.0,-0.0035575762764261665,0.138062149271755
5.0,1.014750214989014,0.0,-0.014750214989013966,0.11193090633211812
5.25,1.011167560694366,0.0,-0.011167560694365974,0.122796933607087
5.5,1.0201695866473088,0.0,-0.020169586647308835,0.07575399307687311
5.75,1.0267363691374345,0.0,-0.02673636913743449,0.0450392988733555
6.0,1.0371495556408477,0.0,-0.037149555640847653,0.03253432501621201
6.25,1.0483031653063537,0.0,-0.0483031653063537,0.03520748998445052
6.5,1.0578356252477787,0.0,-0.057835625247778744,0.0506826257895968
6.75,1.0657806844589315,0.0,-0.06578068445893148,0.07662972751164392
7.0,1.072539115359507,0.0,-0.07253911535950697,0.11085040497181978
7.25,1.0784056106377329,0.0,-0.07840561063773288,0.15146140814417197
7.5,1.08356635567554,0.0,-0.08356635567553994,0.19693791697608792
7.75,1.0881387621147542,0.0,-0.08813876211475424,0.24609443739559778
8.0,1.0921976681387386,0.0,-0.09219766813873864,0.2980493620440353
8.25,1.0957893754385586,0.0,-0.09578937543855859,0.352192011263076
8.5,1.098938231417353,0.0,-0.09893823141735303,0.40816128372900684
8.75,1.101648235415738,0.0,-0.10164823541573798,0.4658435806274416
9.0,1.1039000311717535,0.0,-0.1039000311717535,0.5254022269223231
9.25,1.1056412099741715,0.0,-0.10564120997417148,0.5873654503917842
9.5,1.1067627237163205,0.0,-0.10676272371632045,0.6528436479416196
9.75,1.107037676465912,0.0,-0.107037676465912,0.7240970262828401
10.0,1.105922593986072,0.0,-0.10592259398607196,0.8063706738413899
10.25,1.1014728111424428,0.0,-0.10147281114244278,0.9178297170794378
10.5,1.089465188851617,0.0,-0.08946518885161692,1.089465188851617
10.75,1.0901708481664967,0.0,-0.09017084816649668,1.0901708481664967
11.0,1.0961158975774499,0.0,-0.09611589757744987,1.0961158975774499
11.25,1.0998259838395854,0.0,-0.09982598383958541,1.0998259838395854
11.5,1.1030279232456848,0.0,-0.10302792324568477,1.1030279232456848
11.75,1.105967583877069,0.0,-0.10596758387706906,1.105967583877069
12.0,1.1087200942055342,0.0,-0.10872009420553419,1.1087200942055342
12.25,1.111321307520881,0.0,-0.11132130752088099,1.111321307520881
12.5,1.1137931340719778,0.0,-0.11379313407197778,1.1137931340719778
12.75,1.1161510085007118,0.0,-0.1161510085007118,1.1161510085007118
13.0,1.1184067618170193,0.0,-0.11840676181701926,1.1184067618170193
13.25,1.1205699502650566,0.0,-0.12056995026505657,1.1205699502650566
13.5,1.122648560188574,0.0,-0.12264856018857406,1.122648560188574
13.75,1.1246494230322954,0.0,-0.12464942303229543,1.1246494230322954
14.0,1.126578480306662,0.0,-0.12657848030666208,1.126578480306662
14.25,1.128440963901642,0.0,-0.12844096390164195,1.128440963901642
14.5,1.1302415250554279,0.0,-0.13024152505542785,1.1302415250554279
14.75,1.1319843304089252,0.0,-0.1319843304089252,1.1319843304089252
15.0,1.1336731358214487,0.0,-0.13367313582144869,1.1336731358214487
15.25,1.1353113445863634,0.0,-0.1353113445863634,1.1353113445863634
15.5,1.1369020543144872,0.0,-0.1369020543144872,1.1369020543144872
15.75,1.1384480953394363,0.0,-0.13844809533943625,1.1384480953394363
16.0,1.1399520626345547,0.0,-0.13995206263455473,1.1399520626345547
16.25,1.1414163426553152,0.0,-0.14141634265531522,1.1414163426553152
16.5,1.1428431361490392,0.0,-0.1428431361490392,1.1428431361490392
16.75,1.1442344777002296,0.0,-0.14423447770022957,1.1442344777002296
17.0,1.1455922526152738,0.0,-0.14559225261527375,1.1455922526152738
17.25,1.1469182115997627,0.0,-0.1469182115997627,1.1469182115997627
17.5,1.1482139835929053,0.0,-0.14821398359290527,1.1482139835929053
17.75,1.1494810870516101,0.0,-0.14948108705161012,1.1494810870516101
18.0,1.1507209399134883,0.0,-0.15072093991348834,1.1507209399134883
18.25,1.1519348684366053,0.0,-0.1519348684366053,1.1519348684366053
18.5,1.1531241150651725,0.0,-0.15312411506517254,1.1531241150651725
18.75,1.154289845460333,0.0,-0.15428984546033297,1.154289845460333
19.0,1.1554331548002765,0.0,-0.15543315480027653,1.1554331548002765
19.25,1.1565550734440633,0.0,-0.15655507344406328,1.1565550734440633
19.5,1.1576565720357292,0.0,-0.15765657203572925,1.1576565720357292
19.75,1.1587385661196505,0.0,-0.15873856611965054,1.1587385661196505
20.0,1.1598019203170753,0.0,-0.1598019203170753,1.1598019203170753
20.25,1.1608474521231547,0.0,-0.16084745212315466,1.1608474521231547
20.5,1.1618759353558055,0.0,-0.16187593535580547,1.1618759353558055
20.75,1.1628881033037437,0.0,-0.1628881033037437,1.1628881033037437
21.0,1.1638846515985612,0.0,-0.16388465159856125,1.1638846515985612
21.25,1.1648662408429873,0.0,-0.1648662408429873,1.1648662408429873
21.5,1.1658334990197488,0.0,-0.16583349901974875,1.1658334990197488
21.75,1.1667870236999267,0.0,-0.1667870236999267,1.1667870236999267
22.0,1.1677273840761315,0.0,-0.16772738407613152,1.1677273840761315
22.25,1.168655122829399,0.0,-0.1686551228293991,1.168655122829399
22.5,1.1695707578530743,0.0,-0.1695707578530743,1.1695707578530743
22.75,1.1704747838413825,0.0,-0.17047478384138248,1.1704747838413825
23.0,1.1713676737575929,0.0,-0.17136767375759288,1.1713676737575929
23.25,1.172249880191235,0.0,-0.1722498801912351,1.172249880191235
23.5,1.1731218366150418,0.0,-0.17312183661504177,1.1731218366150418
23.75,1.173983958549276,0.0,-0.17398395854927595,1.173983958549276
24.0,1.1748366446417957,0.0,-0.1748366446417957,1.1748366446417957
24.25,1.1756802776706148,0.0,-0.17568027767061478,1.1756802776706148
24.5,1.176515225475388,0.0,-0.1765152254753879,1.176515225475388
24.75,1.1773418418233303,0.0,-0.17734184182333035,1.1773418418233303
