x,R,T,A,R_det
3.0,0.5726304662679813,0.0,0.4273695337320187,0.35523442127025134
3.25,0.5723435144504656,0.0,0.4276564855495344,0.4249579101432468
3.5,0.5325954593835778,0.0,0.4674045406164222,0.4141617308589646
3.75,0.47314219571763916,0.0,0.5268578042823608,0.3177006452905853
4.0,0.48111880318401856,0.0,0.5188811968159814,0.3247658002328248
4.25,0.497231382480576,0.0,0.5027686175194239,0.3864860686434263
4.5,0.4484764080371218,0.0,0.5515235919628783,0.3846025177971253
4.75,0.4041825477725163,0.0,0.5958174522274837,0.36828120938391695
5.0,0.4732811167070877,0.0,0.5267188832929123,0.4417516032800104
5.25,0.5589606987948375,0.0,0.44103930120516255,0.5589606987948375
5.5,0.5973804934301779,0.0,0.40261950656982215,0.5973804934301779
5.75,0.5929408908373128,0.0,0.40705910916268717,0.5929408908373128
6.0,0.521396436801511,0.0,0.47860356319848896,0.32677404429578993
6.25,0.5111585612568627,0.0,0.48884143874313735,0.12987761283246013
6.5,0.6312431947137381,0.0,0.36875680528626187,0.10532093982827141
6.75,0.6976461495776073,0.0,0.3023538504223927,0.0938268510239809
7.0,0.7309647051343318,0.0,0.26903529486566824,0.09528652514670806
7.25,0.7511016885694453,0.0,0.24889831143055474,0.10232701886572075
7.5,0.7650632641701967,0.0,0.23493673582980334,0.11186404974876395
7.75,0.7755455812365011,0.0,0.22445441876349892,0.12253699827046033
8.0,0.7837439119659118,0.0,0.21625608803408825,0.13364343358516018
8.25,0.7902427612536251,0.0,0.20975723874637486,0.14477340621810098
8.5,0.7953292289431706,0.0,0.2046707710568294,0.15568017057879607
8.75,0.7991076803691298,0.0,0.20089231963087018,0.1662450834283444
9.0,0.8015267351857747,0.0,0.19847326481422534,0.17650401420072687
9.25,0.8023406494547844,0.0,0.19765935054521555,0.18676196586454402
9.5,0.8009663025760054,0.0,0.19903369742399457,0.19792431757718348
9.75,0.7960545300870872,0.0,0.20394546991291285,0.21254390819507898
10.0,0.7838789136728732,0.0,0.2161210863271268,0.23919835637360057
10.25,0.7448174047970949,0.0,0.2551825952029051,0.3350264128615953
10.5,0.4787960460264621,0.0,0.5212039539735379,0.4787960460264621
10.75,0.2894446100686675,0.0,0.7105553899313325,0.2894446100686675
11.0,0.21471285260124243,0.0,0.7852871473987576,0.21471285260124243
11.25,0.24024587768349834,0.0,0.7597541223165016,0.24024587768349834
11.5,0.359939069626499,0.0,0.640060930373501,0.359939069626499
11.75,0.45712724808541233,0.0,0.5428727519145877,0.45712724808541233
12.0,0.533973705387709,0.0,0.46602629461229095,0.533973705387709
12.25,0.5937069514511525,0.0,0.4062930485488475,0.5937069514511525
12.5,0.6400147888967244,0.0,0.35998521110327564,0.6400147888967244
12.75,0.6762393705911808,0.0,0.3237606294088192,0.6762393705911808
13.0,0.7049812351416934,0.0,0.2950187648583066,0.7049812351416934
13.25,0.7281483189167406,0.0,0.2718516810832594,0.7281483189167406
13.5,0.7471157427053462,0.0,0.2528842572946538,0.7471157427053462
13.75,0.7628750365834643,0.0,0.23712496341653566,0.7628750365834643
14.0,0.7761473783136678,0.0,0.22385262168633224,0.7761473783136678
14.25,0.7874637947564849,0.0,0.21253620524351513,0.7874637947564849
14.5,0.7972206642442855,0.0,0.2027793357557145,0.7972206642442855
14.75,0.8057179801636097,0.0,0.19428201983639026,0.8057179801636097
15.0,0.8131858683254043,0.0,0.1868141316745957,0.8131858683254043
15.25,0.8198031408319516,0.0,0.1801968591680484,0.8198031408319516
15.5,0.8257104292814362,0.0,0.17428957071856377,0.8257104292814362
15.75,0.831019596687364,0.0,0.16898040331263597,0.831019596687364
16.0,0.8358205672718465,0.0,0.1641794327281535,0.8358205672718465
16.25,0.8401863435627119,0.0,0.15981365643728807,0.8401863435627119
16.5,0.8441767356589237,0.0,0.1558232643410763,0.8441767356589237
16.75,0.8478411646611028,0.0,0.15215883533889718,0.8478411646611028
17.0,0.8512207927939724,0.0,0.14877920720602755,0.8512207927939724
17.25,0.8543501584050486,0.0,0.14564984159495142,0.8543501584050486
17.5,0.857258442988106,0.0,0.14274155701189395,0.857258442988106
17.75,0.8599704619515978,0.0,0.14002953804840224,0.8599704619515978
18.0,0.8625074459890114,0.0,0.1374925540109886,0.8625074459890114
18.25,0.8648876622793515,0.0,0.13511233772064846,0.8648876622793515
18.5,0.867126912109544,0.0,0.13287308789045604,0.867126912109544
18.75,0.8692389323720603,0.0,0.1307610676279397,0.8692389323720603
19.0,0.8712357217030369,0.0,0.12876427829696313,0.8712357217030369
19.25,0.8731278071154229,0.0,0.12687219288457707,0.8731278071154229
19.5,0.8749244633068921,0.0,0.1250755366931079,0.8749244633068921
19.75,0.876633894087247,0.0,0.12336610591275299,0.876633894087247
20.0,0.8782633832887458,0.0,0.12173661671125424,0.8782633832887458
20.25,0.8798194209473712,0.0,0.1201805790526288,0.8798194209473712
