x,R,T,A,R_det
3.0,0.571813948670121,0.0,0.42818605132987897,0.2358474331754744
3.25,0.6146056263920617,0.0,0.38539437360793827,0.21520269097221514
3.5,0.6257706109728602,0.0,0.37422938902713976,0.10631239268706459
3.75,0.5656230071436757,0.0,0.43437699285632425,0.3227329366766983
4.0,0.5552242354385865,0.0,0.44477576456141354,0.29137534717119284
4.25,0.6465606344897228,0.0,0.3534393655102772,0.16308580543462367
4.5,0.7116843963014385,0.0,0.28831560369856146,0.12353728570566638
4.75,0.7406917345004722,0.0,0.2593082654995278,0.113796517394218
5.0,0.7462992315855411,0.0,0.2537007684144589,0.11415543167303664
5.25,0.5628792116211274,0.0,0.4371207883788726,0.19870785400212743
5.5,0.27057063833376704,0.0,0.729429361666233,0.13871126255220254
5.75,0.3557405220488234,0.0,0.6442594779511766,0.17370277732450845
6.0,0.5301191265974737,0.0,0.46988087340252627,0.1612693788138924
6.25,0.6395861162019333,0.0,0.3604138837980667,0.12225401293747273
6.5,0.7018305546317903,0.0,0.29816944536820966,0.08419325100922986
6.75,0.7391519250010078,0.0,0.2608480749989922,0.05424183893480583
7.0,0.7630687299087646,0.0,0.23693127009123538,0.032825062476253795
7.25,0.7792567438816245,0.0,0.22074325611837553,0.018720786098325476
7.5,0.7906485568483388,0.0,0.2093514431516612,0.01045144461921392
7.75,0.798843034449328,0.0,0.20115696555067197,0.006655611116507585
8.0,0.8047440205685578,0.0,0.19525597943144224,0.006173699122241264
8.25,0.8088610071828307,0.0,0.19113899281716928,0.00805149437822198
8.5,0.811452250366267,0.0,0.188547749633733,0.011525065629309474
8.75,0.8125841129675818,0.0,0.18741588703241818,0.016013046187993814
9.0,0.8121308015806956,0.0,0.18786919841930438,0.021138587591938717
9.25,0.8097025619113863,0.0,0.19029743808861366,0.026826304668815457
9.5,0.8044273283873434,0.0,0.19557267161265657,0.03361075031133442
9.75,0.7942929214426557,0.0,0.20570707855734427,0.04368204542974722
10.0,0.7735280741700115,0.0,0.22647192582998854,0.06557429801451298
10.25,0.706279827774873,0.0,0.29372017222512703,0.1667717657684724
10.5,0.31200946578233224,0.0,0.6879905342176678,0.31200946578233224
10.75,0.33584212332753316,0.0,0.6641578766724668,0.33584212332753316
11.0,0.42799035474285735,0.0,0.5720096452571426,0.42799035474285735
11.25,0.4768250563806929,0.0,0.5231749436193072,0.4768250563806929
11.5,0.524336156936526,0.0,0.475663843063474,0.524336156936526
11.75,0.5683836140846292,0.0,0.43161638591537077,0.5683836140846292
12.0,0.6073966265861868,0.0,0.39260337341381324,0.6073966265861868
12.25,0.641133355018539,0.0,0.35886664498146104,0.641133355018539
12.5,0.670003778109289,0.0,0.329996221890711,0.670003778109289
12.75,0.6946414407220702,0.0,0.30535855927792976,0.6946414407220702
13.0,0.7156998811924429,0.0,0.2843001188075571,0.7156998811924429
13.25,0.7337707841937742,0.0,0.2662292158062258,0.7337707841937742
13.5,0.7493597878010452,0.0,0.2506402121989548,0.7493597878010452
13.75,0.7628870826327389,0.0,0.23711291736726114,0.7628870826327389
14.0,0.7746972310491778,0.0,0.22530276895082224,0.7746972310491778
14.25,0.7850712642318339,0.0,0.21492873576816607,0.7850712642318339
14.5,0.794238208820526,0.0,0.20576179117947402,0.794238208820526
14.75,0.8023850604721381,0.0,0.1976149395278619,0.8023850604721381
15.0,0.8096650291540767,0.0,0.19033497084592332,0.8096650291540767
15.25,0.816204199082087,0.0,0.18379580091791303,0.816204199082087
15.5,0.8221068454271382,0.0,0.1778931545728618,0.8221068454271382
15.75,0.8274596566434297,0.0,0.1725403433565703,0.8274596566434297
16.0,0.8323350832720503,0.0,0.1676649167279497,0.8323350832720503
16.25,0.836793996854576,0.0,0.163206003145424,0.836793996854576
16.5,0.8408878066083555,0.0,0.1591121933916445,0.8408878066083555
16.75,0.8446601504741701,0.0,0.1553398495258299,0.8446601504741701
17.0,0.8481482517633508,0.0,0.15185174823664915,0.8481482517633508
17.25,0.8513840124610892,0.0,0.1486159875389108,0.8513840124610892
17.5,0.8543948984619456,0.0,0.1456051015380544,0.8543948984619456
17.75,0.8572046597769769,0.0,0.1427953402230231,0.8572046597769769
18.0,0.8598339192918565,0.0,0.14016608070814351,0.8598339192918565
18.25,0.8623006563564282,0.0,0.13769934364357184,0.8623006563564282
18.5,0.8646206058479166,0.0,0.13537939415208344,0.8646206058479166
18.75,0.8668075889852982,0.0,0.1331924110147018,0.8668075889852982
19.0,0.8688737887872076,0.0,0.13112621121279244,0.8688737887872076
19.25,0.8708299804238494,0.0,0.1291700195761506,0.8708299804238494
19.5,0.8726857246565157,0.0,0.12731427534348427,0.8726857246565157
19.75,0.8744495309324463,0.0,0.12555046906755374,0.8744495309324463
20.0,0.876128995436425,0.0,0.12387100456357503,0.876128995436425
20.25,0.8777309183818582,0.0,0.12226908161814176,0.8777309183818582
20.5,0.8792614040261248,0.0,0.12073859597387515,0.8792614040261248
20.75,0.880725946255413,0.0,0.119274053744587,0.880725946255413
21.0,0.8821295020677656,0.0,0.11787049793223436,0.8821295020677656
21.25,0.8834765548712943,0.0,0.11652344512870572,0.8834765548712943
21.5,0.884771169181264,0.0,0.11522883081873603,0.884771169181264
21.75,0.8860170380285637,0.0,0.11398296197143631,0.8860170380285637
22.0,0.8872175241704224,0.0,0.11278247582957757,0.8872175241704224
22.25,0.8883756960151158,0.0,0.11162430398488421,0.8883756960151158
22.5,0.8894943590244273,0.0,0.1105056409755727,0.8894943590244273
22.75,0.8905760832352588,0.0,0.10942391676474117,0.8905760832352588
23.0,0.8916232274408519,0.0,0.10837677255914813,0.8916232274408519
23.25,0.8926379604899535,0.0,0.10736203951004653,0.8926379604899535
23.5,0.8936222800921055,0.0,0.10637771990789446,0.8936222800921055
23.75,0.8945780294572655,0.0,0.1054219705427345,0.8945780294572655
24.0,0.8955069120556758,0.0,0.10449308794432421,0.8955069120556758
24.25,0.8964105047327205,0.0,0.10358949526727945,0.8964105047327205
24.5,0.8972902693927813,0.0,0.10270973060721866,0.8972902693927813
24.75,0.8981475634234053,0.0,0.10185243657659471,0.8981475634234053
